Year,Month,DayofMonth,UniqueCarrier,Cancelled,AllFlights
1987,10,1,AA,18,1819
1987,10,1,AS,10,247
1987,10,1,CO,2,1444
1987,10,1,DL,10,2046
1987,10,1,EA,12,1172
1987,10,1,HP,8,505
1987,10,1,NW,52,1224
1987,10,1,"PA (1)",1,166
1987,10,1,PI,15,1307
1987,10,1,PS,18,507
1987,10,1,TW,2,785
1987,10,1,UA,4,1705
1987,10,1,US,0,1072
1987,10,1,WN,1,767
1987,10,2,AA,2,1846
1987,10,2,AS,4,232
1987,10,2,CO,1,1453
1987,10,2,DL,6,2024
1987,10,2,EA,22,1218
1987,10,2,HP,1,467
1987,10,2,NW,27,1233
1987,10,2,"PA (1)",1,160
1987,10,2,PI,6,1287
1987,10,2,PS,1,507
1987,10,2,TW,0,788
1987,10,2,UA,5,1707
1987,10,2,US,0,1082
1987,10,2,WN,0,744
1987,10,3,AA,9,1798
1987,10,3,AS,0,200
1987,10,3,CO,4,1270
1987,10,3,DL,17,1986
1987,10,3,EA,11,1155
1987,10,3,HP,8,482
1987,10,3,NW,19,1112
1987,10,3,"PA (1)",2,164
1987,10,3,PI,3,1177
1987,10,3,PS,5,350
1987,10,3,TW,0,719
1987,10,3,UA,12,1687
1987,10,3,US,0,929
1987,10,3,WN,0,508
1987,10,4,AA,9,1828
1987,10,4,AS,2,222
1987,10,4,CO,1,1311
1987,10,4,DL,15,2001
1987,10,4,EA,17,1193
1987,10,4,HP,1,497
1987,10,4,NW,17,1181
1987,10,4,"PA (1)",2,152
1987,10,4,PI,11,1214
1987,10,4,PS,0,432
1987,10,4,TW,0,742
1987,10,4,UA,13,1718
1987,10,4,US,23,999
1987,10,4,WN,0,621
1987,10,5,AA,17,1836
1987,10,5,AS,0,258
1987,10,5,CO,2,1442
1987,10,5,DL,28,2059
1987,10,5,EA,20,1197
1987,10,5,HP,5,508
1987,10,5,NW,10,1251
1987,10,5,"PA (1)",0,169
1987,10,5,PI,18,1302
1987,10,5,PS,17,487
1987,10,5,TW,0,786
1987,10,5,UA,7,1744
1987,10,5,US,2,1073
1987,10,5,WN,8,758
1987,10,6,AA,8,1816
1987,10,6,AS,2,253
1987,10,6,CO,3,1429
1987,10,6,DL,10,2095
1987,10,6,EA,9,1225
1987,10,6,HP,7,500
1987,10,6,NW,15,1280
1987,10,6,"PA (1)",2,163
1987,10,6,PI,5,1288
1987,10,6,PS,24,500
1987,10,6,TW,0,778
1987,10,6,UA,4,1720
1987,10,6,US,3,1069
1987,10,6,WN,2,785
1987,10,7,AA,3,1824
1987,10,7,AS,2,248
1987,10,7,CO,1,1450
1987,10,7,DL,3,2040
1987,10,7,EA,3,1198
1987,10,7,HP,5,506
1987,10,7,NW,10,1257
1987,10,7,"PA (1)",3,160
1987,10,7,PI,5,1285
1987,10,7,PS,3,482
1987,10,7,TW,0,782
1987,10,7,UA,1,1722
1987,10,7,US,0,1077
1987,10,7,WN,0,774
1987,10,8,AA,12,1823
1987,10,8,AS,4,254
1987,10,8,CO,3,1454
1987,10,8,DL,6,2061
1987,10,8,EA,9,1232
1987,10,8,HP,4,454
1987,10,8,NW,5,1273
1987,10,8,"PA (1)",1,171
1987,10,8,PI,1,1291
1987,10,8,PS,0,498
1987,10,8,TW,1,775
1987,10,8,UA,2,1734
1987,10,8,US,0,1067
1987,10,8,WN,2,742
1987,10,9,AA,2,1813
1987,10,9,AS,0,250
1987,10,9,CO,6,1447
1987,10,9,DL,9,2066
1987,10,9,EA,12,1193
1987,10,9,HP,6,473
1987,10,9,NW,17,1238
1987,10,9,"PA (1)",1,167
1987,10,9,PI,4,1287
1987,10,9,PS,0,495
1987,10,9,TW,0,808
1987,10,9,UA,0,1721
1987,10,9,US,0,1063
1987,10,9,WN,0,761
1987,10,10,AA,2,1788
1987,10,10,AS,0,214
1987,10,10,CO,11,1233
1987,10,10,DL,11,1960
1987,10,10,EA,11,1154
1987,10,10,HP,4,466
1987,10,10,NW,12,1101
1987,10,10,"PA (1)",0,167
1987,10,10,PI,12,1182
1987,10,10,PS,0,340
1987,10,10,TW,2,715
1987,10,10,UA,2,1677
1987,10,10,US,0,916
1987,10,10,WN,0,508
1987,10,11,AA,4,1799
1987,10,11,AS,0,223
1987,10,11,CO,4,1306
1987,10,11,DL,7,2000
1987,10,11,EA,6,1181
1987,10,11,HP,1,467
1987,10,11,NW,14,1142
1987,10,11,"PA (1)",0,161
1987,10,11,PI,2,1223
1987,10,11,PS,1,412
1987,10,11,TW,1,738
1987,10,11,UA,5,1706
1987,10,11,US,0,1025
1987,10,11,WN,0,637
1987,10,12,AA,20,1836
1987,10,12,AS,0,250
1987,10,12,CO,55,1445
1987,10,12,DL,19,2061
1987,10,12,EA,79,1199
1987,10,12,HP,9,470
1987,10,12,NW,27,1261
1987,10,12,"PA (1)",16,179
1987,10,12,PI,37,1303
1987,10,12,PS,4,473
1987,10,12,TW,47,797
1987,10,12,UA,34,1713
1987,10,12,US,17,1047
1987,10,12,WN,0,761
1987,10,13,AA,4,1824
1987,10,13,AS,1,258
1987,10,13,CO,9,1408
1987,10,13,DL,6,2058
1987,10,13,EA,9,1256
1987,10,13,HP,14,486
1987,10,13,NW,10,1261
1987,10,13,"PA (1)",5,169
1987,10,13,PI,15,1290
1987,10,13,PS,11,526
1987,10,13,TW,10,802
1987,10,13,UA,10,1717
1987,10,13,US,5,1065
1987,10,13,WN,0,745
1987,10,14,AA,4,1797
1987,10,14,AS,1,244
1987,10,14,CO,2,1402
1987,10,14,DL,4,2073
1987,10,14,EA,24,1222
1987,10,14,HP,3,501
1987,10,14,NW,0,1245
1987,10,14,"PA (1)",1,161
1987,10,14,PI,16,1292
1987,10,14,PS,2,514
1987,10,14,TW,0,811
1987,10,14,UA,9,1690
1987,10,14,US,1,1080
1987,10,14,WN,0,774
1987,10,15,AA,0,1830
