year,month,dest,cancelled,allFlights
1987,10,ATL,245,22762
1987,10,BOS,52,8568
1987,10,BWI,35,5481
1987,10,CLT,55,8205
1987,10,DCA,35,7491
1987,10,DEN,51,15243
1987,10,DFW,58,17733
1987,10,DTW,81,9794
1987,10,EWR,70,10554
1987,10,FLL,62,3530
1987,10,HNL,4,1237
1987,10,IAD,40,5155
1987,10,IAH,27,7646
1987,10,JFK,39,4112
1987,10,LAS,44,6515
1987,10,LAX,147,15790
1987,10,LGA,69,9654
1987,10,MCO,30,5510
1987,10,MDW,1,1569
1987,10,MIA,107,5956
1987,10,MSP,48,7989
1987,10,ORD,89,22925
1987,10,PDX,39,3427
1987,10,PHL,48,6818
1987,10,PHX,65,10198
1987,10,SAN,39,4862
1987,10,SEA,54,6055
1987,10,SFO,100,12175
1987,10,SLC,19,5687
1987,10,TPA,50,5173
1987,11,ATL,337,21517
1987,11,BOS,177,8019
1987,11,BWI,130,5213
1987,11,CLT,65,8059
1987,11,DCA,257,7116
1987,11,DEN,393,14118
1987,11,DFW,159,17015
1987,11,DTW,73,8993
1987,11,EWR,123,10055
1987,11,FLL,29,3203
1987,11,HNL,3,1219
1987,11,IAD,72,4623
1987,11,IAH,71,7041
1987,11,JFK,42,3929
1987,11,LAS,48,6339
1987,11,LAX,185,14759
1987,11,LGA,150,9153
1987,11,MCO,45,5652
1987,11,MDW,18,1463
1987,11,MIA,58,5830
1987,11,MSP,82,7637
1987,11,ORD,163,21966
1987,11,PDX,27,3216
1987,11,PHL,70,6656
1987,11,PHX,103,9813
1987,11,SAN,42,4829
1987,11,SEA,50,5612
1987,11,SFO,132,11224
1987,11,SLC,117,5268
1987,11,TPA,41,4855
1987,12,ATL,471,22504
1987,12,BOS,195,8469
1987,12,BWI,70,5504
1987,12,CLT,101,8400
1987,12,DCA,151,7372
1987,12,DEN,929,14923
1987,12,DFW,217,17702
1987,12,DTW,289,9665
1987,12,EWR,168,10449
1987,12,FLL,42,3514
1987,12,HNL,9,1273
1987,12,IAD,90,4945
1987,12,IAH,153,7143
1987,12,JFK,37,4276
1987,12,LAS,117,6295
1987,12,LAX,460,15048
1987,12,LGA,213,9649
1987,12,MCO,55,5994
1987,12,MDW,90,1502
1987,12,MIA,65,6296
1987,12,MSP,226,7975
1987,12,ORD,1446,22939
1987,12,PDX,75,3326
1987,12,PHL,99,7000
1987,12,PHX,194,10223
1987,12,SAN,146,5020
1987,12,SEA,97,5781
1987,12,SFO,430,11549
1987,12,SLC,100,5560
1987,12,TPA,52,5140
1988,1,ATL,1622,22178
1988,1,BOS,481,8542
1988,1,BWI,256,5569
1988,1,CLT,480,8483
1988,1,DCA,337,7268
1988,1,DEN,377,14558
1988,1,DFW,838,17650
1988,1,DTW,306,9435
1988,1,EWR,440,10335
1988,1,FLL,132,3635
1988,1,HNL,14,1232
1988,1,IAD,182,4656
1988,1,IAH,165,7021
1988,1,JFK,121,4405
1988,1,LAS,65,6176
1988,1,LAX,235,14524
1988,1,LGA,464,9648
1988,1,MCO,164,6156
1988,1,MDW,53,1387
1988,1,MIA,142,6419
1988,1,MSP,400,7597
1988,1,ORD,799,23017
1988,1,PDX,43,3345
1988,1,PHL,396,7041
1988,1,PHX,133,10362
1988,1,SAN,57,5070
1988,1,SEA,71,5807
1988,1,SFO,180,11062
1988,1,SLC,119,5458
1988,1,TPA,135,5134
1988,2,ATL,252,21158
1988,2,BOS,438,8142
1988,2,BWI,69,5250
1988,2,CLT,78,8050
1988,2,DCA,161,6914
1988,2,DEN,193,13481
1988,2,DFW,114,16845
1988,2,DTW,420,9109
1988,2,EWR,205,9883
1988,2,FLL,68,3465
1988,2,HNL,4,1183
1988,2,IAD,72,4174
1988,2,IAH,53,6583
1988,2,JFK,59,4091
1988,2,LAS,35,5913
1988,2,LAX,126,13735
1988,2,LGA,226,9129
1988,2,MCO,50,5897
1988,2,MDW,56,1204
1988,2,MIA,72,6061
1988,2,MSP,342,7186
1988,2,ORD,836,21562
1988,2,PDX,37,2911
1988,2,PHL,120,6708
1988,2,PHX,55,9831
1988,2,SAN,39,4658
1988,2,SEA,82,5449
1988,2,SFO,111,10175
1988,2,SLC,24,5241
1988,2,TPA,59,4989
1988,3,ATL,183,22764
1988,3,BOS,126,8789
1988,3,BWI,25,5652
1988,3,CLT,65,8635
1988,3,DCA,56,7465
1988,3,DEN,260,14556
1988,3,DFW,47,18112
1988,3,DTW,94,9738
1988,3,EWR,67,10651
1988,3,FLL,45,3858
1988,3,HNL,2,1293
1988,3,IAD,29,4160
1988,3,IAH,49,7308
1988,3,JFK,46,4343
1988,3,LAS,22,6010
1988,3,LAX,56,14714
1988,3,LGA,97,9851
1988,3,MCO,37,6460
1988,3,MDW,27,1339
1988,3,MIA,58,6518
1988,3,MSP,112,7924
1988,3,ORD,111,23380
1988,3,PDX,16,3235
1988,3,PHL,44,7282
1988,3,PHX,34,10242
1988,3,SAN,32,5045
1988,3,SEA,40,5955
1988,3,SFO,52,11097
1988,3,SLC,28,5688
1988,3,TPA,28,5286
1988,4,ATL,261,21793
1988,4,BOS,47,8262
1988,4,BWI,15,5442
1988,4,CLT,31,8352
1988,4,DCA,49,7151
1988,4,DEN,78,13861
1988,4,DFW,34,17847
1988,4,DTW,32,9263
1988,4,EWR,66,10063
1988,4,FLL,25,3589
1988,4,HNL,9,1224
1988,4,IAD,26,3890
1988,4,IAH,31,7035
1988,4,JFK,26,4194
1988,4,LAS,21,5850
1988,4,LAX,54,14083
1988,4,LGA,84,9492
1988,4,MCO,21,6127
1988,4,MDW,7,1279
1988,4,MIA,50,6255
1988,4,MSP,54,7626
1988,4,ORD,233,22684
1988,4,PDX,10,3067
1988,4,PHL,33,6953
1988,4,PHX,33,9994
1988,4,SAN,13,4805
1988,4,SEA,12,5646
1988,4,SFO,81,10686
1988,4,SLC,9,5567
1988,4,TPA,25,5033
1988,5,ATL,192,22273
1988,5,BOS,96,8299
1988,5,BWI,32,5487
1988,5,CLT,35,8422
1988,5,DCA,109,7436
1988,5,DEN,80,14055
1988,5,DFW,26,18379
1988,5,DTW,70,9266
1988,5,EWR,124,10536
1988,5,FLL,13,3179
