year,month,iata,cancelled,allFlights
1987,10,ATL,249,22571
1987,10,BOS,43,8598
1987,10,BWI,28,5494
1987,10,CLT,40,8150
1987,10,DCA,45,7493
1987,10,DEN,45,14995
1987,10,DFW,61,17457
1987,10,DTW,63,9532
1987,10,EWR,67,10565
1987,10,FLL,57,3585
1987,10,HNL,7,1254
1987,10,IAD,35,5149
1987,10,IAH,28,7579
1987,10,JFK,38,4101
1987,10,LAS,36,6537
1987,10,LAX,123,15756
1987,10,LGA,68,9706
1987,10,MCO,31,5542
1987,10,MDW,1,1579
1987,10,MIA,128,5842
1987,10,MSP,47,7835
1987,10,ORD,88,22681
1987,10,PDX,36,3458
1987,10,PHL,56,6836
1987,10,PHX,76,10032
1987,10,SAN,50,4893
1987,10,SEA,68,6039
1987,10,SFO,100,12198
1987,10,SLC,17,5709
1987,10,TPA,50,5214
1987,11,ATL,323,21421
1987,11,BOS,191,8114
1987,11,BWI,130,5222
1987,11,CLT,52,8014
1987,11,DCA,265,7123
1987,11,DEN,425,13859
1987,11,DFW,185,16852
1987,11,DTW,63,8702
1987,11,EWR,127,9995
1987,11,FLL,14,3257
1987,11,HNL,9,1254
1987,11,IAD,63,4516
1987,11,IAH,73,6960
1987,11,JFK,42,3885
1987,11,LAS,58,6380
1987,11,LAX,207,14736
1987,11,LGA,126,9215
1987,11,MCO,42,5703
1987,11,MDW,18,1467
1987,11,MIA,59,5642
1987,11,MSP,71,7489
1987,11,ORD,181,21801
1987,11,PDX,30,3245
1987,11,PHL,60,6692
1987,11,PHX,77,9716
1987,11,SAN,54,4842
1987,11,SEA,51,5599
1987,11,SFO,143,11324
1987,11,SLC,104,5248
1987,11,TPA,29,4888
1987,12,ATL,456,22317
1987,12,BOS,188,8538
1987,12,BWI,65,5526
1987,12,CLT,99,8354
1987,12,DCA,165,7400
1987,12,DEN,920,14522
1987,12,DFW,213,17551
1987,12,DTW,267,9314
1987,12,EWR,162,10431
1987,12,FLL,29,3549
1987,12,HNL,11,1319
1987,12,IAD,88,4895
1987,12,IAH,145,7027
1987,12,JFK,32,4287
1987,12,LAS,99,6322
1987,12,LAX,479,15154
1987,12,LGA,218,9675
1987,12,MCO,55,6060
1987,12,MDW,94,1512
1987,12,MIA,82,6165
1987,12,MSP,194,7784
1987,12,ORD,1453,22734
1987,12,PDX,79,3374
1987,12,PHL,101,7042
1987,12,PHX,176,10100
1987,12,SAN,152,5060
1987,12,SEA,87,5773
1987,12,SFO,429,11633
1987,12,SLC,94,5541
1987,12,TPA,51,5186
1988,1,ATL,1642,22001
1988,1,BOS,457,8560
1988,1,BWI,274,5589
1988,1,CLT,578,8442
1988,1,DCA,355,7315
1988,1,DEN,378,14170
1988,1,DFW,812,17340
1988,1,DTW,252,9080
1988,1,EWR,424,10280
1988,1,FLL,93,3697
1988,1,HNL,18,1293
1988,1,IAD,189,4670
1988,1,IAH,156,6909
1988,1,JFK,122,4389
1988,1,LAS,55,6248
1988,1,LAX,222,14494
1988,1,LGA,497,9686
1988,1,MCO,164,6194
1988,1,MDW,55,1407
1988,1,MIA,138,6300
1988,1,MSP,360,7263
1988,1,ORD,775,22707
1988,1,PDX,49,3406
1988,1,PHL,526,7016
1988,1,PHX,116,10241
1988,1,SAN,55,5098
1988,1,SEA,57,5873
1988,1,SFO,167,11259
1988,1,SLC,111,5386
1988,1,TPA,129,5230
1988,2,ATL,255,21155
1988,2,BOS,429,8173
1988,2,BWI,56,5282
1988,2,CLT,105,8003
1988,2,DCA,175,6951
1988,2,DEN,187,13148
1988,2,DFW,107,16589
1988,2,DTW,360,8680
1988,2,EWR,199,9762
